,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AU01_start,-0.016822778773609087,-0.021640795307506434,0.04505669728718437,-0.0224961453427008,-0.015543446785980604,0.04831609419024974,0.043106699918023995,0.0778968271347163,0.04675058539204563,0.01806391816379891
AU01_mid,-0.01695449427817883,-0.02079846765053331,0.045563008035711366,-0.030181678714693773,-0.007214656798389015,0.0024467635222831315,0.04253923529178063,0.07936959832218152,0.013268386959398006,0.035998354344228045
AU01_end,-0.017909795870613324,-0.02238834496652424,0.04509571532222068,-0.030144296225194243,0.016477168841143388,-0.01600336329152524,-0.00426408087682627,0.08103896871146317,0.05279309703631663,0.03787133566394325
AU02_start,0.009194320760784701,-0.02004193245650234,0.03959808565700116,-0.03153956914130599,-0.02905778181650838,0.023945431917956096,0.039053827948191996,0.011779958967426365,0.001621821089082194,-0.0017179751684817722
AU02_mid,0.00616582096724273,-0.02053097502621187,0.041771513466676256,-0.02818117391081263,-0.0030019249242953542,0.007659689384469457,0.03048199253108031,0.01645279494355588,-0.011982994003308297,-0.0019992888865528534
AU02_end,0.008494228633236909,-0.02060298435915963,0.0430794853288242,-0.02785429973235677,-0.0034991903108984364,-0.02262782028864689,-0.010426747964267964,0.006735943330296387,0.04493692286393781,0.02414228578439963
AU04_start,0.01971881353985895,0.02481122682218987,-0.012484389118865413,0.009136244816654347,0.004820472683535191,-0.004805587409936036,-0.02106491419831603,-0.04985083044931709,0.00046888277465742404,0.04141861555921021
AU04_mid,0.02301506114508367,0.020837188531405752,-0.010688259147924229,0.010237160969098028,-0.008805637779835293,-0.013398506587106753,0.004663958747454744,-0.026518355116274792,0.010454125992895719,0.010540724674056982
AU04_end,0.018783181421433818,0.025127237319072182,-0.01625762302540773,0.008225184369094795,-0.0073796835982389555,-0.0007116592338705396,0.018406512695425346,0.002320246574970654,-0.03241301082043128,5.039175959550507e-05
AU05_start,-0.008761806142299959,-0.019246597801597078,-0.011460883604352443,-0.007575040209535798,-0.04590266051319078,-0.01867927691875739,-0.004672647940273642,0.01401513876242621,0.01002566793385692,-0.04585295193285852
AU05_mid,-0.012844891685662139,-0.021109293360388352,-0.008247976736686018,0.013936578190737249,-0.03363653441322679,-0.018058180698768574,0.004221757273197745,-0.02177273124839512,0.044271251282690945,-0.043534962206109425
AU05_end,-0.009835705529251048,-0.022494828527227572,-0.013363052785460164,-0.0038699658580721987,-0.03006858066446687,0.0011225916645169823,0.0014465692663560162,0.0004388436202021551,0.004802996958264251,-0.018809112660885967
AU06_start,-0.0159250081438058,-0.009312844735218768,0.015839865020492998,-0.016882489082031576,0.05780333788798578,0.03865175906195624,-0.02146340539109108,0.09392403513593549,-0.02427640659580645,-0.001926956930360734
AU06_mid,-0.016679308816328058,-0.0074773225514485715,0.0235711784242466,-0.014403118526040705,0.05031511986049896,0.009534972834518167,0.021624959514476457,0.10767029116911503,-0.05774083293496418,0.01381040458504337
AU06_end,-0.014589831838498714,-0.008535868036360254,0.014670630785090365,-0.011430181031234912,0.04238038932322221,0.036359703541077794,-0.022613600834940524,0.11689040525910621,-0.01735759808379552,-0.05186702008573416
AU07_start,-0.004551521008122446,-0.0018415065790194222,-0.010366851187534562,0.006504991178735106,0.027077723703500978,-0.0017474278037239756,0.0005475129078934518,0.046984459003241545,-0.010770649007046022,0.03543024402132146
